indexid,question_id,formula,status,inorder_term,sorted_term,structure_term,constant_term,variable_term
68,20080400102,\beta^2 +2,1,"[[], ['\\$msup$+'], ['\\$msup', 'msup$+']]","[[], ['\\$+$msup'], ['\\$+', '+$msup'], ['\\', '+', 'msup']]",[],"['msup$cn', 'cn']",['msup$var']
69,20090300106,y = 2x^2 -6x +c,1,"[['=$msup$-$+'], ['=$msup$-', 'msup$-$+'], ['=$msup', 'msup$-', '-$+']]","[['-$+$=$msup'], ['-$+$=', '+$=$msup'], ['-$+', '+$=', '=$msup'], ['-', '+', '=', 'msup']]",[],"['cn', 'msup$cn']","['var', 'msup$var']"
70,20090300106,y\leq0,1,"[[], [], ['\\$e']]","[[], [], ['\\$e'], ['\\', 'e']]",[],['cn'],['var']
71,20100300103,3(2-x) < x+18,1,"[['mfenced$-$lt;$+'], ['mfenced$-$lt;', '-$lt;$+'], ['mfenced$-', '-$lt;', 'lt;$+']]","[['-$+$lt;$mfenced'], ['-$+$lt;', '+$lt;$mfenced'], ['-$+', '+$lt;', 'lt;$mfenced'], ['-', '+', 'lt;', 'mfenced']]",['mfenced$-'],"['cn', 'mfenced$cn']","['mfenced$var', 'var']"
72,20100300103,3(x^2 -5) > x-1,1,"[['mfenced$msup$-$gt;', 'msup$-$gt;$-'], ['mfenced$msup$-', 'msup$-$gt;', '-$gt;$-'], ['mfenced$msup', 'msup$-', '-$gt;', 'gt;$-']]","[['-$-$gt;$mfenced', '-$gt;$mfenced$msup'], ['-$-$gt;', '-$gt;$mfenced', 'gt;$mfenced$msup'], ['-$-', '-$gt;', 'gt;$mfenced', 'mfenced$msup'], ['-', '-', 'gt;', 'mfenced', 'msup']]","['mfenced$msup', 'mfenced$-']","['mfenced$cn', 'cn', 'mfenced$msup$cn']","['var', 'mfenced$msup$var']"
73,20100300109,3x^2-2x+1=0,1,"[['msup$-$+$='], ['msup$-$+', '-$+$='], ['msup$-', '-$+', '+$=']]","[['-$+$=$msup'], ['-$+$=', '+$=$msup'], ['-$+', '+$=', '=$msup'], ['-', '+', '=', 'msup']]",[],"['cn', 'msup$cn']","['var', 'msup$var']"
74,20100300109,\alpha,1,"[[], [], []]","[[], [], [], ['\\']]",[],[],['var']
75,20100300109,\beta,1,"[[], [], []]","[[], [], [], ['\\']]",[],[],['var']
76,20100300109,\alpha + 2\beta,1,"[[], ['\\$+$\\'], ['\\$+', '+$\\']]","[[], ['\\$\\$+'], ['\\$\\', '\\$+'], ['\\', '\\', '+']]",[],['cn'],['var']
77,20100300109,\alpha + \beta,1,"[[], ['\\$+$\\'], ['\\$+', '+$\\']]","[[], ['\\$\\$+'], ['\\$\\', '\\$+'], ['\\', '\\', '+']]",[],[],['var']
